"","x"
"669",10367.35
"670",10329.72
"671",10299.75
"672",10421.04
"673",10299.68
"674",10299.9
"675",10250.23
"676",10254.4
"677",10251.86
"678",10182.24
"679",10000.25
"680",10161.35
"681",10250.02
"682",10296.38
"683",10299.65
"684",10300.61
"685",10298.98
"686",10300.03
"687",10299.97
"688",10300.15
"689",10212.07
"690",10292.77
"691",10299.6
"692",10299.71
"693",10210.4
"694",10300.23
"695",9908.31
"696",10299.8
"697",10299.99
"698",10299.94
"699",10299.56
"700",9579.23
"701",10186.32
"702",10159.6
"703",9714.22
"704",10251.4
"705",9971.86
"706",10299.83
"707",10300.13
"708",9803.91
"709",10299.75
"710",10336.08
"711",10315.38
"712",10300.11
"713",10300.13
"714",10300.21
"715",10299.73
"716",10299.88
"717",10299.64
"718",10299.96
"719",10014.16
"720",9024.46
"721",10608.09
"722",10619.36
"723",10657.63
"724",10681.56
"725",10651.71
"726",10646.25
"727",10593.44
"728",9548.61
